quote_id;quote_name;author;title;quote_text
1;mat_1;ukjent-1;pølse-er-flott;Pølse er en flott matrett
2;mat_2;ukjent-2;pølse-med-lompe;Pølse med lompe eller brød faller ofte i smak hos meg
3;mat_3;ukjent-3;pølse-hater;Jeg HATER pølser!
4;mat_4;ukjent-4;pølse-ok;Pølser er helt OK, men jeg foretrekker fiskeboller
5;mat_5;ukjent-5;triatlon-50;Situasjonen for aktive triathleter i 50-årene er blitt svært krevende her i kommunen, hevder Martin Iden fra Kolbotn IL.
6;mat_6;ukjent-6;pølse-verden;Verden hadde vært et bedre sted om flere likte pølser
7;mat_7;ukjent-7;pølse-elsker;Jeg ELSKER pølser over alt og alle!
8;mat_8;ukjent-8;pølse-rekesalat;Pølse med brød og rekesalat er populært hos oss
9;mat_9;ukjent-9;agurk;Agurk er en aldeles nydelig grønnsak - antakelig min favoritt!
10;mat_10;ukjent-10;fotball-kroatia;Over to kamper vant Norge til slutt 8-0 over Kroatia sammenlagt. Dermed beholder landslaget plassen på nivå A i Nasjonsligaen.
